NUMBER,SENTENCE,ACTUAL_VALUE,PREDICTED_VALUE
1612,"You can only use one online services account and must keep your account information accurate at all times.",3,0
1613,"Us! ",0,0
1614,"We have the right, but not the obligation, to remove or block Content from HackerRank that We determine in Our reasonable discretion to be in violation of these Terms, to be unlawful, offensive, threatening, libelous, defamatory, obscene or otherwise objectionable, that violates any party's intellectual property or that is detrimental to the quality or intended spirit of HackerRank.",1,0
1615,"You agree not to seek to proceed on any claim in arbitration as a class claim or class action or other comparable representative proceeding.",2,2
1616,"The Company may alter the AUP.",1,1
1617,"THIRD PARTY RIGHTS",0,0
1618,"You agree to assume full responsibility and liability for all loss or damage suffered by yourself, the Third Party Provider, Grab or any third party as a result of any breach of the Terms of Use.",3,0
1619,"Points have no cash or monetary value and are not redeemable for cash in any form.",0,0
1620,"If you agree to pay, or if the Damage Claim is escalated to Airbnb and Airbnb determines in its sole discretion that the Damage Claim is valid and you are responsible for the Damage Claim, Airbnb via Airbnb Payments can collect the amount of the Damage Claim from you.",3,3
1621,"Either Grammarly or you may terminate this Agreement by notice if the other party breaches any material term of this Agreement and fails to cure such breach within thirty (30) days after receipt of notice of the breach from the non-defaulting party.",1,1
1622,"Pexels further reserves the right to restrict or suspend your access to the Services in whole or in part at any time, without prior notice and excluding any claim for damages on your part (""Suspension""), if there are reasonable grounds for suspecting violations by you of these Terms and/or the applicable Conditions of Participation.",1,0
1623,"If you are an Enterprise Subscriber, this restriction applies to each of your Authorized Users individually, not to your overall use of the Site, Services and Software.",0,0
1624,"Payments",0,0
1625,"Communication devices and tools, and electricity and such like which are necessary to use the Service shall be obtained and prepared at the cost and responsibility of the Users.",3,0
1626,"You agree that Airbnb may issue on your behalf invoices or similar documentation for VAT, GST, consumption or other Taxes for your Host Services to facilitate accurate tax reporting by you, our Guests, and/or their organizations.",3,3
1627,"You must register an online services account in order to use ordering.",3,0
1628,"Waze may assign its rights in and to the Service to a third party at its sole and absolute discretion, provided that the third party undertakes Waze’s obligations to you under these Terms.",1,1
1629,"Toll and parking can be added after the trip.",0,0
1630,"If you initiate arbitration, your arbitration fees will be limited to the filing fee set forth in the JAMS Rules.",3,0
1631,"When you contact our support team, it is implied that you are allowing us to access your account if necessary, in order to be helpful.",1,1
1632,"Miscellaneous.",0,0
1633,"""Platform Application User"" is a user with a unique identifier that is created and provisioned by you and such user's access to Content in the Service is governed through the Platform Application.",0,0
1634,"If you access Website from a location outside the European Union, you are responsible for compliance with all applicable local laws.",3,3
1635,"Users may take procedures for the cancellation of Subscription Services at any time; provided, however, that even if a User takes the procedures for cancellation prior to the intended period of use, the User may not change such period of use, nor may the User cancel the purchase of the Subscription Services.",1,1
1636,"ALL SUCH WARRANTIES, REPRESENTATIONS, CONDITIONS, AND UNDERTAKINGS ARE HEREBY EXCLUDED.",0,0
1637,"Assignment and transfer.",0,0
1638,"The Company is not responsible to inspect or record any information transferred to our applications by Users.",0,0
1639,"If you have not enabled Corporate Billing and instead you have opted for a Reimbursement or corporate credit card method of payment Grab shall charge the Authorised User for Fees at the end of each Authorised User’s trip/booking on a per trip/booking charge basis via the payment methods selected by the Authorised User.",3,0
1640,"Except for the circumstances described below, if we can’t resolve a dispute informally, you and Discord agree to resolve any dispute or claim relating to these terms or our services through final and binding arbitration in the U.S. state where you reside.",3,0
1641,"Hacks or access without permission our proprietary or confidential records, those of another user, or those of anyone else.",2,0
1642,"THERE IS NO JUDGE OR JURY IN ARBITRATION, AND COURT REVIEW OF AN ARBITRATION AWARD IS LIMITED.",0,0
1643,"Paid for services",0,0
1644,"You may not download or use our services if you are located in a country or region subject to U.S. or E.U. government embargo (including Cuba, Iran, Syria, and the Crimea region) unless that use is authorized by the United States and other relevant authorities.",2,2
1645,"If You post Content on or through HackerRank, You represent and warrant that You have the right to post the Content and to grant the above rights to Us.",3,3
1646,"How Coursera and Others May Use User Content",0,1
1647,"We do not represent any ownership or claim any intellectual property rights over the information that you provide or that is provided to us.",0,0
1648,"Should any provision of these Terms (a clause or a statement within a clause) be void, unenforceable or legally invalid otherwise, it shall not affect any other provision hereof, or these Terms as a whole.",0,0
1649,"This policy is intended to avoid the possibility of future misunderstandings when projects developed by PowerSchool might seem to others to be similar to their own submissions or comments.",0,0
1650,"We may stop (permanently or temporarily) providing the Vine Archive or any features within the Vine Archive to you or to users generally.",1,1
1651,"You may cancel your Account at any time by visiting your Account Settings page and clicking on “Remove” or by sending an email to feedback@academia.edu.",1,1
1652,"We may license this Content to you upon payment by you of ""real world money"" as applicable from time to time.",1,1
1653,"Our registered office is at The Broadgate Tower, Third Floor, 20 Primrose Street, London EC2A 2RS.",0,0
1654,"By using the Vine Archive you agree that any liability of Twitter, its parents, affiliates, related companies, officers, directors, employees, agents representatives, partners, and licensors is limited to the maximum extent permissible in your country of residence.",3,3
1655,"WITHOUT LIMITING THE FOREGOING, WE NEITHER WARRANT NOR REPRESENT THAT YOUR USE OF THE SERVICES WILL NOT INFRINGE THE RIGHTS OF ANY THIRD PARTIES, NOR THAT THE SERVICES WILL BE AVAILABLE FOR YOUR ACCESS OR USE, NOR THAT OPERATION OF THE SERVICES WILL BE ERROR-FREE OR UNINTERRUPTED. PLEASE NOTE THAT SOME JURISDICTIONS MAY NOT ALLOW THE EXCLUSION OF IMPLIED WARRANTIES, SO SOME OF THE ABOVE EXCLUSIONS MAY NOT APPLY TO YOU.",0,1
1656,"The provisions of this ""Limitation of Liability"" section allocates the risks under these Terms between you and Box, and you and Box have relied on these limitations in determining whether to enter into these Terms and the pricing for the Services.",0,0
1657,"LIMITATION OF LIABILITY",0,0
1658,"Please contact HackerRank with any questions regarding these Terms at support@hackerrank.com.",0,0
1659,"Fun Off Contest Rules.",0,0
1660,"We do not guarantee that Ok Cupid services will be functional if the user's internet provider is not able to provide his / her services accordingly. In this context, we can not be held liable for the complete or intermittent failure of the service.",0,0
1661,"You acknowledge and agree that Your relationships with Your Social Networking Sites are governed solely by Your agreements with those Social Networking Sites and HackerRank is not liable for any information, including personally identifiable information that may be provided to HackerRank by Your Social Networking Site in violation of the privacy settings that You have set with Your Social Networking Sites.",3,1
1662,"Failure to make a qualified Grab transaction within the period will lead to the expiration of the accumulated points.",0,0
1663,"If you do not agree to these terms and conditions, you may not use the Service and should not proceed to register.",2,2
1664,"Disclaimer of Warranties",0,0
1665,"You may access and use the Service as made available to you, as long as you comply with this Agreement and applicable law.",1,1
1666,"If you're a consumer in the EEA, Section 11 doesn't apply to you.",0,0
1667,"You accept that by doing this, the Company has provided you with sufficient notice of the amendment.",3,0
1668,"Our Service may also provide notices of changes to these Terms or other matters, by displaying such notices or by providing links to such notices.",1,1
1669,"If you would like to contact 9GAG in connection with your use of the Service, then please refer to the contact information below: by mail at 1104, 11/F, Crawford House, 70 Queen’s Road Central, Central, Hong Kong, and by email at support@9gag.com.",0,0
1670,"Objectionable Content.",0,0
1671,"Using Canva to Publish a Website You can use the Service to design and publish a website (“Canva Site”).",1,0
1672,"For the purposes of this Agreement: ""Content Provider"" means the party offering Kindle Content in the Kindle Store, which may be us or a third party.",0,0
1673,"We save your profile information in case you later decide to restore your account.",0,0
1674,"As part of the Services, NordVPN may, from time to time, include computer software supplied by third parties, which is utilized by permission of the respective licensors and/or copyright holders on the terms provided by such parties.",1,1
1675,"ROMEO hereby grants the User a non-exclusive, non-transferable, limited right to access and use the Service solely for personal and non-commercial purposes, notwithstanding the exception mentioned in 3.5, under the conditions of these Terms of Use.",1,0
1676,"meShare's Services include software.",0,0
1677,"In the interest of resolving disputes between you and 9GAG in the most expedient and cost effective manner, you and 9GAG agree that any dispute arising out of or in any way related to this EULA or your use of the Service will be resolved by binding arbitration.",3,0
1678,"For example, this could occur if our ownership changes (as in a merger, acquisition, or sale of assets) or by law.",0,0
1679,"Upon termination of your account(s) for any reason, your right to use the Services and Software and to access the Site and any of its content will immediately cease and all content in your account(s) will be deleted. ",0,0
1680,"In short, be excellent to each other.",0,0
1681,"This section applies to our games, in particular PC games, and EA-owned game platforms like the EA app or Origin.",0,0
1682,"While using the Service, personal information may be provided by You or collected by Waze as detailed in our Privacy Policy.",0,1
1683,"You agree that any subpoena, third-party discovery request, or other third-party process directed to Yelp must issue from, or be domesticated by, the state or federal courts located within San Francisco County, California and you agree to submit to the jurisdiction of each of these courts for any related proceedings.",3,3
1684,"In order to verify the identity of the person claiming the theft, you need to send us a copy of an identity document (passport or identity document) in which your photo, name and surname can be identified, along with several other relevant photos with you, different of those that appear on the site, from which your identity can be confirmed.",3,0
1685,"""profile picture"" - or ""main photo"" is the picture displayed next to the profile.",0,0
1686,"When you access or use an EA Service, you agree that you will not: Impersonate another person or falsely imply that you are an EA employee or representative.",2,2
1687,"Purchases",0,0
1688,"We reserve the right to discontinue some or all of our Business Services in our sole discretion, including certain features and the support for certain devices and platforms.",1,0
1689,"You must comply with all domestic and international export laws and regulations that apply to your use of the Services, such as software.",3,0
1690,"We have the right to refuse any account name that:May create confusion; May offend in any way a person, entity or group; May be interpreted as obscene; Contains email, phone number, address.",1,1
1691,"You further agree not to use our Services or Content in any manner to harass, abuse, stalk, threaten, defame or otherwise infringe or violate the rights of any other party, and You acknowledge and agree that Truecaller is not in any way responsible for any such use by You, nor for any harassing, threatening, defamatory, offensive or illegal messages or transmissions that You may receive as a result of using the Services.",2,2
1692,"To the fullest extent permitted by law, you assume full responsibility for and we disclaim liability to you for any indirect, consequential, exemplary, incidental, or punitive damages, including lost profits, even if we had been advised of the possibility of such damages.",3,0
1693,"United States Dispute Resolution and Arbitration Agreement.",0,0
1694,"Sections 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 3.2, 3.3, 4.2, 4.3, 4.4, 5, 7.3, 7.5, 7.7, 7.8, 7.10, 8, 9, 10, 11, 12, 13, 14, 15.1, and all defined terms used therein will survive the termination of this EULA indefinitely.",0,0
1695,"You will not receive interest or other earnings on your Credits.",2,2
1696,"Duolingo Promotion Codes (each a “Promotional Code”) are made available by Duolingo (either directly or through a partner) subject to the Terms and Conditions of Service (“Terms and Conditions”).",0,0
1697,"If you are on a paid subscription, you can publish unlimited Canva Sites using a free my.canva.site URL.",1,0
1698,"In the case of breach of obligation – on any legal ground whatsoever – we are responsible for intent and gross negligence.",3,0
1699,"Recurring subscription fees are billed or charged every month, 6 months, or 1 year, respectively, from the day of your initial subscription.",0,0
1700,"Connect you with people and organizations you care about: We help you find and connect with people, groups, businesses, organizations, and others that matter to you across the Meta Products you use.",0,0
1701,"Generally, our Site uses Cookies to distinguish you from other users of our Site.",0,0
1702,"You are responsible for all usage or activity on the Service by users using your login and password, including but not limited to use of your login and password by any third party.",3,3
1703,"You may, in your discretion, choose to create an account with Moovit via your account with third party social network, such as Facebook or Google (“User Account”).",1,1
1704,"It is therefore recommended that you carefully read these Terms.",3,0
1705,"The licenses granted by us terminate if you do not comply with this Agreement.",0,0
1706,"You represent that you are in good enough health to begin these Services, which may include changes to your diet or level of physical activity, among other things.",3,1
1707,"In addition to the other remedies available to ROMEO, ROMEO is at all times, at its sole discretion, without prior written notice or explanation and without becoming liable to the User, entitled to:temporarily or permanently terminate the User's Account and his use of the Service in the event that ROMEO, at its sole discretion, deems such termination necessary, including but not limited to a violation as mentioned in 2.4, 3.2, 3.6 or 8.2; (temporarily) restrict or suspend the User's activities in connection with the Service or to ban a User from the Service; ban a User from using the Service and prevent banned Users from creating a new Account and/or delete Accounts created by banned Users; (partly) edit, delete or refuse any content or services within the Service as described in 2.3 and/or 8.2; and/or transfer a group Account to ROMEO itself and/or to another User if ROMEO deems this necessary.",1,0
1708,"You agree and understand that your Opt In Request(s) shall be subject to approval by Grab, and will thereafter serve as a supplement document / side letter / amendment and/or other forms of document thereto, and will be deemed as an integral and inseparable part of your existing Contract with Grab",3,0
1709,"We will acknowledge all complaints and follow-up with you to address your complaint within a reasonable timeframe.",0,0
1710,"Each of these Promotions are subject to additional special conditions (""Conditions of Participation""), which will be published on our Website or otherwise notified to you by Pexels.",0,0
1711,"You may maintain no more than one free machine account in addition to your free Personal Account.",1,1
1712,"By accessing the Website and/or App and by using the Service, the User confirms and guarantees that he is indeed at least eighteen (18) years old and that, according to the laws of the country in which he resides and/or the laws of the country from where he is accessing the Service and Website and/or App, he is allowed to access the Website and/or App, to create an Account and to use the Service and Website and/or App.",3,0
1713,"We cannot and will not be responsible for your using the Site in a way that violates applicable laws.",0,0
1714,"We assume no responsibility for the deletion or failure to store Your Content, and we expressly do not promise to store or keep Your Content.",0,0
1715,"Your only right or remedy with respect to any problems or dissatisfaction with the Services, is to uninstall the Truecaller applications and cease to use the Services.",0,0
1716,"In no event will we be liable for the removal of or disabling of access to the Service or any part thereof.",0,0
1717,"You also grant each other user of the Service a worldwide, non-exclusive, royalty-free license to access your Content through the Service, and to use that Content, including to reproduce, distribute, prepare derivative works, display, and perform it, only as enabled by a feature of the Service (such as video playback or embeds). ",1,0
1718,"You can use ordering to build your order and send it to a participating restaurant that you select.",0,0
1719,"EXCEPT AS REQUIRED BY APPLICABLE LAW, YOUTUBE, ITS AFFILIATES, OFFICERS, DIRECTORS, EMPLOYEES AND AGENTS WILL NOT BE RESPONSIBLE FOR ANY LOSS OF PROFITS, REVENUES, BUSINESS OPPORTUNITIES, GOODWILL, OR ANTICIPATED SAVINGS; LOSS OR CORRUPTION OF DATA; INDIRECT OR CONSEQUENTIAL LOSS; PUNITIVE DAMAGES CAUSED BY: ERRORS, MISTAKES, OR INACCURACIES ON THE SERVICE; PERSONAL INJURY OR PROPERTY DAMAGE RESULTING FROM YOUR USE OF THE SERVICE; ANY UNAUTHORIZED ACCESS TO OR USE OF THE SERVICE; ANY INTERRUPTION OR CESSATION OF THE SERVICE; ANY VIRUSES OR MALICIOUS CODE TRANSMITTED TO OR THROUGH THE SERVICE BY ANY THIRD PARTY; ANY CONTENT WHETHER SUBMITTED BY A USER OR YOUTUBE, INCLUDING YOUR USE OF CONTENT; AND/OR THE REMOVAL OR UNAVAILABILITY OF ANY CONTENT.",0,0
1720,"The Points are calculated on a per transaction basis and rounded up to the nearest whole number if the decimal more or equal to 0.5 Points, and down to the nearest whole number if the decimal is equal or less than 0.5 Points.",0,0
1721,"TO THE EXTENT PERMITTED BY APPLICABLE LAWS AND REGULATIONS, THE TOTAL AGGREGATE LIABILITY OF US AND OUR AFFILIATE COMPANIES FOR ALL CLAIMS IN CONNECTION WITH THIS AGREEMENT OR THE LICENSED ITEMS, ARISING OUT OF ANY CIRCUMSTANCES, WILL BE LIMITED TO THE GREATER OF THE FOLLOWING AMOUNTS: (a) THE AMOUNT THAT YOU HAVE PAID TO US FOR YOUR USE OF THE LICENSED ITEMS TO WHICH THE CLAIM RELATES IN THE 6 MONTHS IMMEDIATELY PRECEDING THE DATE OF THE MOST RECENT CLAIM; AND (b) USD100 (I.E. ONE HUNDRED US DOLLARS).",0,0
1722,"Do you have guidelines in place about what you can do with my personal data?",0,0
1723,"WE MAKE NO WARRANTY THAT THE SERVICE WILL MEET YOUR REQUIREMENTS OR BE AVAILABLE ON AN UNINTERRUPTED, SECURE, OR ERROR-FREE BASIS.",0,0
1724,"Short version: We treat the content of private repositories as confidential, and we only access it as described in our Privacy Statement—for security purposes, to assist the repository owner with a support matter, to maintain the integrity of the Service, to comply with our legal obligations, if we have reason to believe the contents are in violation of the law, or with your consent.",0,0
1725,"Without limiting the preceding sentences of this Section, 9GAG also has the right – but not the obligation – to take remedial action in connection with any Objectionable Content Posted to the Service as described more fully in Section 5.8 below.",1,0
1726,"These Terms of Service do not grant us any licenses or rights to your Content except for the limited rights needed for us to provide the Clickup Service to you.",2,2
1727,"We may include hyperlinks to other websites or content on the Internet that are owned or operated by third parties (“Third Party Links“).",1,1
1728,"Use of the Software.",0,0
1729,"We shall not be liable for any damages whatsoever, including but without limitation to any direct, indirect, special, consequential, punitive or incidental damages, or damages for loss of use, profits, data or other intangibles, damage to goodwill or reputation, arising out of or related to the use, inability to use or failures of the Website.",0,0
1730,"These Terms of Service apply to all users of the site, including without limitation users who are browsers, vendors, customers, merchants, and/ or contributors of content.",0,0
1731,"When you fill in the registration form and provide us with details about you, you agree to use them to create your profile.",3,0
1732,"No portion of the Service may be reproduced in any form or by any means.",2,1
1733,"Payments and purchases may not be cancelled by the User, except as required by law.",2,1
1734,"Members shall be fully responsible to all the consequences by using the Service of NOMO CAM, and NOMO CAM is not liable for such risks to Members.",3,0
1735,"3 Fees and Payment.",0,0
1736,"You agree that these Terms will be governed by the laws of the Netherlands, excluding its conflicts of law provisions.",0,3
1737,"As between you and Yelp, you own Your Content.",0,0
1738,"Content will not be deleted within 90 days of the account deletion or content deletion process beginning in the following situations: · where your content has been used by others in accordance with this license and they have not deleted it (in which case this license will continue to apply until that content is deleted); or · where deletion within 90 days is not possible due to technical limitations of our systems, in which case, we will complete the deletion as soon as technically feasible; or · where deletion would restrict our ability to: · investigate or identify illegal activity or violations of our terms and policies (for example, to identify or investigate misuse of our products or systems); · protect the safety and security of our products, systems, and users; · comply with a legal obligation, such as the preservation of evidence; or · comply with a request of a judicial or administrative authority, law enforcement or a government agency; · in which case, the content will be retained for no longer than is necessary for the purposes for which it has been retained (the exact duration will vary on a case-by-case basis).",0,0
1739,"If you breach any of the Terms, the above licence will terminate automatically and you must immediately destroy any downloaded or printed Content.",3,0
1740,"Such license does not include any right to: (a) sell or commercially use any part of our Services; (b) copy, reproduce, distribute, publicly perform or publicly display any part of our Services; (c) modify any part of our Services, remove any proprietary rights notices; (d) reverse engineer or attempt to extract the source code of that software; or (e) use our Services other than as expressly provided in these Terms.",2,0
1741,"To withdraw your consent, or to correct your email address, you must email us at help@glow.co and you must include your name, policy number, effective and expiration dates of the policy, the effective date of your withdrawal and whether you want (a) all communications to be in paper form and (b) your insurance policy to be sent to you in paper form.",3,0
1742,"The Agreement may not be amended or modified unless made in writing and signed by EA.",2,1
1743,"The right to be forgotten derives from the case Google Spain SL, Google Inc v Agencia Española de Protección de Datos, Mario Costeja González (2014).",0,0
1744,"Unless otherwise shown, content available in any in-game store has the same age rating as the game.",0,0
1745,"We may modify this Contract and the tariffs at any time (including introducing charges for aspects of the Service previously provided for by giving you thirty (30) days’ notice.",1,1
1746,"a) Free Trial Member (“Member"") refers to an individual who has agreed to the NOMO CAM Terms of Use and Privacy Policy, and voluntarily tries the Free Trial Membership Service ( defined below).",0,0
1747,"Limitation of Liability",0,0
1748,"(2) The provision provided in paragraph (1) will be accepted by the payer's institution if it correctly identifies the direct debit mandate that it revokes or modifies.",0,0
1749,"Where there is no set search query Jora site will randomly allocate the Sponsored Jobs for the search.",0,0
1750,"You and Duolingo acknowledge and agree that Apple, and Apple’s subsidiaries, are third party beneficiaries of these Terms and Conditions as they relate to your license of the Apps, and that, upon your acceptance of these Terms and Conditions, Apple will have the right (and will be deemed to have accepted the right) to enforce these Terms and Conditions against you as a third party beneficiary thereof.",3,1
1751,"We will notify our Users of material changes to this Agreement, such as price increases, at least 30 days prior to the change taking effect by posting a notice on our Website or sending email to the primary email address specified in your GitHub account.",0,0
1752,"SECTION 13 - DISCLAIMER OF WARRANTIES; LIMITATION OF LIABILITY",0,0
1753,"You are solely responsible for complying with the Export Control and Sanctions Laws and monitoring them for any modifications.",0,3
1754,"If you and EA cannot resolve a Dispute informally, you or EA may elect to have the Dispute finally and exclusively resolved by binding arbitration.",1,1
1755,"Certain products or services may be available exclusively online through the website.",0,0
1756,"When any inspection or maintenance of the Service system or infrastructure is conducted.",0,0
1757,"Not all devices support the use of Tokens.",0,0
1758,"If you have any questions regarding any purchase confirmation you receive, please direct your questions to support@9gag.com.",3,3
1759,"Any offer for any product or service made on this site is void where prohibited.",2,0
1760,"We reserve the right to assume the exclusive defense and control of any matter otherwise subject to indemnification by you; provided, however, that you shall remain liable for any such claim.",1,0
1761,"Any offer of an Experience is subject to our Additional Terms for Experience Hosts.",0,0
1762,"We may need to provide you with certain communications, such as service announcements and administrative messages.",3,1
1763,"You can update your Payment Methods by going to the ""Account"" page.",1,0
1764,"You can opt-out of certain communications here.",1,0
1765,"Do not book Host Services unless you are actually using the Host Services.",2,0
1766,"We or our payment processor may re-attempt to take payment at any time.",1,1
1767,"You agree to, and to cause all Authorised Users to, use the Service and Application solely as set forth in this Terms of Service.",3,0
1768,"You promise that you will not: use the Cookpad Service for election campaign or other political activities; use the Cookpad Service in contravention of applicable laws and regulations; hinder the operation of the Cookpad Service or hinder the exchange or sharing of Content contributed by other users or third parties; or cause damages or losses to us, other users or third parties by damaging their credibility or infringing their intellectual property rights; cause significant hindrance to the operations of our business through repetitive, frivolous or vexatious enquiries or emails, which are beyond our obligations and/or are unreasonable;",2,2
1769,"CONTENT PLACED OR MADE AVAILABLE FOR COMPANY SERVICES",0,0
1770,"Independent businesses own and operate many restaurants.",0,0
1771,"Alibaba.com may have independent third parties involved in the provision of the Alibaba.com Sites or Services (e.g., the authentication and verification service providers).",1,1
1772,"You acknowledge that we have no obligation to prescreen or monitor your access to or use of our Service or any information, materials or other content provided or made available through our Service, but has the right to do so.",3,3
1773,"Following any update, you authorize us to continue to charge the applicable Payment Method(s).",1,0
1774,"Therefore, you should review these Terms and any Updated Terms before using the Service.",3,0
1775,"Such notice shall be deemed to have been given upon the expiration of 48 hours after mailing or posting (if sent by registered mail or pre-paid post) or 1 hour after sending (if sent by email).",0,0
1776,"We reserve the right to investigate any suspected unauthorized uses of SLOWLY and we may take action in our sole discretion, including without limitation seeking legal, civil, criminal, or injunctive relief.",1,1
1777,"You also may not re-engineer the service, copy images or features, or frame or display the service by proxy.",2,1
1778,"For purposes of the Agreement, Your Confidential Information shall include Your Data, and any information disclosed to Zoom by You relating to the business, systems, operations, strategic plans, clients, pricing, methods, processes, financial data, programs, and/or products of You.",0,0
1779,"Just text “STOP” to the short code 87177.",0,0
1780,"We may change the Truecaller Fees from time to time by posting the changes in or on the Services or by notifying You in advance.",1,1
1781,"In some cases, your payment date may change, for example, if your Payment Method has not successfully settled or if your paid subscription began on a day not contained in a given month.",0,1
1782,"The specified request is considered by the Organizer, after which the Visitor shall be notified of the order and terms of the return",3,0
1783,"Except as otherwise stated in Section 10 above, nothing herein is intended, nor will be deemed, to confer rights or remedies upon any third party.",0,0
1784,"The Services are intended for business use.",0,0
1785,"To access or use HackerRank Jobs, You must be 18 years of age or older and have the power and authority to enter into these Terms.",3,0
1786,"You retain any and all of your rights to any Content you submit, post or display on or through the Service and you are responsible for protecting those rights.",3,3
1787,"In the case of payment by bank card, we will make this refund using the same payment method that you used for the initial transaction.",0,0
1788,"If you are on a trial, you may cancel at any time until the last day of your trial.",1,1
1789,"We personalize content and features as part of the Services, including showing you recommendations on Digital Content, features and services that might be of interest to you.",0,0
1790,"In the event that the laws of the jurisdiction you are in do not permit or impose restrictions on the access to any content on the Services, you shall forthwith discontinue access to such content or comply with such restrictions (as the case may be).",3,0
1791,"Users.",0,0
1792,"Payment",0,0
1793,"Content made available through the Airbnb Platform may be protected by copyright, trademark, and/or other laws of the United States and other countries.",0,1
1794,"We will review all claims of copyright infringement received and remove User Content deemed to have been posted or distributed in violation of any such laws.",0,0
1795,"The Notice of Dispute must: (a) include the full name and contact information of the complaining party; (b) describe the nature and basis of the claim or dispute; and (c) set forth the specific relief sought.",0,0
1796,"For instance, if your GrabCar ride costs PHP50 and you received a PHP20 discount, Grab, may issue you 3 Points on the PHP30.",1,1
1797,"Time Limitation on Claims",0,0
1798,"NOMO CAM, operated by Beijing Lingguang Zaixian Information Technology Limited is subject to the following provisions and conditions (“Provisions”) contained in this NOMO CAM Terms of Use (“Terms of Use”) to provide the service(s) (“Service” or “Services”).",0,0
1799,"Assignment.",0,0
1800,"You agree that all agreements, notices, demands, disclosures and other communications that Alibaba.com sends to you electronically will satisfy any legal requirement that such communication should be in writing.",3,3
1801,"The procedure of processing of a refund and technical procedure of refunding the Visitors their money shall be regulated by the terms of the Organizer.",3,0
1802,"HackerRank’s failure to exercise or enforce any right or provision of these Terms shall not operate as a waiver of such right or provision.",0,0
1803,"You agree that NOMO CAM shall not be responsible to any information, communication material or other contents posted or transmitted through the Service if it is deleted or not stored.",3,3
1804,"We may also suspend or disable your account if you repeatedly infringe other people’s intellectual property rights or where we are required to do so for legal reasons.",1,1
1805,"You may not copy, reproduce, alter, modify, resell, mirror, or create derivative works of Sling, our Services, or our content on Sling without our written permission.",2,2
1806,"We are responsible for communicating those fees to you clearly and accurately, and letting you know well in advance if those prices change.",3,0
1807,"Recordings.",0,0
1808,"McDonald’s intellectual property ownership.",0,0
1809,"We will consider the information you provide and other information we may obtain, and we may remove Content that we determine may infringe on your rights in our sole discretion.",1,1
1810,"If any provision in these Terms of Use shall be held to be (partly) void or unenforceable, the other provisions of these Terms of Use will remain in full force and effect.",0,0
1811,"You understand and agree, however, that YouTube may retain, but not display, distribute, or perform, server copies of your videos that have been removed or deleted.",3,1
1812,"Users can participate in existing groups shared among other Users.",1,0
1813,"Academia.edu reserves the right, at any time and without prior notice, to remove or disable access to any Collective Content, including, but not limited to, Collective Content that Academia.edu, at its sole discretion, considers to be in violation of these Terms or otherwise harmful to the Site or Services.",1,0
1814,"TO THE MAXIMUM EXTENT PERMITTED UNDER APPLICABLE LAW, COMPANY, ON ITS OWN BEHALF AND ON BEHALF OF ITS AFFILIATES AND ITS AND THEIR RESPECTIVE OWNERS, SHAREHOLDERS, PARTNERS, OFFICERS, DIRECTORS, EMPLOYEES, CONTRACTORS, SERVICE PROVIDERS, AGENTS, REPRESENTATIVES, LICENSORS, SUCCESSORS, AND ASSIGNS, EXPRESSLY DISCLAIMS ALL WARRANTIES, WHETHER EXPRESS, IMPLIED, STATUTORY, OR OTHERWISE, WITH RESPECT TO CINEWAV, INCLUDING ALL IMPLIED WARRANTIES OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, TITLE, AND NON-INFRINGEMENT, AND WARRANTIES THAT MAY ARISE OUT OF COURSE OF DEALING, COURSE OF PERFORMANCE, USAGE, OR TRADE PRACTICE. WITHOUT LIMITATION TO THE FOREGOING, COMPANY PROVIDES NO WARRANTY OR UNDERTAKING, AND MAKES NO WARRANTY OR REPRESENTATION OF ANY KIND WITH RESPECT TO THE COMPLETENESS, SECURITY, RELIABILITY, QUALITY, ACCURACY OR AVAILABILITY OF CINEWAV, ITS CONTENT, FEATURES, FUNCTIONALITY, AND SERVICES, AND ITEMS OBTAINED THROUGH CINEWAV, OR THAT THE SAME ARE ACCURATE, RELIABLE, WILL MEET YOUR REQUIREMENTS, ACHIEVE ANY INTENDED RESULTS, BE COMPATIBLE, OR WORK WITH ANY OTHER SOFTWARE, APPLICATIONS, SYSTEMS, OR SERVICES, OPERATE WITHOUT INTERRUPTION, MEET ANY PERFORMANCE OR RELIABILITY STANDARDS, OR BE ERROR-FREE, OR THAT ANY ERRORS OR DEFECTS CAN OR WILL BE CORRECTED, OR THAT CINEWAV OR THE SERVER THAT MAKES IT AVAILABLE ARE FREE OF VIRUSES OR OTHER HARMFUL COMPONENTS OR THAT CINEWAV OR ANY SERVICES OR ITEMS OBTAINED THROUGH CINEWAV WILL OTHERWISE MEET YOUR NEEDS OR EXPECTATIONS.",0,1
1815,"Disclaimers",0,0
1816,"You are responsible for clearing the rights to all User Content you Post to the Service; 9GAG provides the App to you on an “as is” basis without warranties of any kind and 9GAG’s liability to you is limited; disputes arising between you and 9GAG will be resolved by binding individual arbitration.",3,3
1817,"You agree to (i) notify each Proposed User that by linking Proposed User’s personal Active Account with your Corporate User Account for Grab for Business that Grab will provide you with detailed trip/ booking information for the rides or other bookings charged to your account, and (ii) to obtain any necessary consent from each Authorised User for Grab to share detailed trip/booking information with you.",3,0
1818,"meShare-provided interface to third-party products and services.",0,0
1819,"We ask that you keep your password secure.",0,0
