CLASSES,SENTENCES,PROVIDER,VALUE
OTHERS,"If you reside in the United States, you are entering into this contract with Box, Inc.",Box,0
OTHERS,"If you reside outside of the United States excluding Japan, you are entering into this contract with Box.com (UK) Ltd., a company registered in England and Wales (company number 0809736), VAT number GB177912768.",Box,0
OTHERS,"If you reside in Japan, you are entering into this contract with K.K. Box Japan, a company registered in Japan (company number 0104-01-107327).",Box,0
DUTY,"If you are using the Services on behalf of an organization, you are agreeing to these Terms for that organization and promising to Box that you have the authority to bind that organization to these Terms (in which event, ""you"" and ""your"" will refer to that organization) unless that organization has a separate paid contract in effect with us, in which event the terms of that contract will govern your use of the Services.",Box,3
DUTY,"In order to use the Service, you must be legally permitted to accept these Terms.",Box,3
OTHERS,PRIVACY,Box,0
OTHERS,"In order to operate and provide the Services, we collect certain information about you.",Box,0
OTHERS,We use and protect that information as described in our Privacy Policy.,Box,0
DUTY,"You acknowledge your use of the Services is subject to our Privacy Policy and understand that it identifies how Box collects, stores, and uses certain information.",Box,3
OTHERS,CHANGES TO THESE TERMS,Box,0
PERMISSION,We reserve the right to modify these Terms.,Box,1
OTHERS,"We will post the most current version of these Terms at www.box.com (the ""Site"").",Box,0
OTHERS,"If we make material changes to these Terms, we will notify you via the Services and/or by email to the address associated with your account.",Box,0
PROHIBITION,"If you do not accept the changes, you must stop using and cancel your account by emailing cancel@box.com.",Box,2
PERMISSION,Your continued use of our Services after we publish or send a notice about our changes to these Terms means that you are consenting to the updated terms.,Box,1
OTHERS,YOUR ACCOUNT,Box,0
DUTY,Certain aspects of the Services may require you to obtain an account by completing a registration form and designating a user ID and password.,Box,3
DUTY,"When registering with Box you must: (a) provide true, current and complete information about yourself on the registration form and (b) maintain such information so it continues to be true, current and complete.",Box,3
DUTY,"You are entirely responsible for all materials and information that you upload, post or otherwise transmit via the Services (please also see our Acceptable Use Policy in Section 10).",Box,3
PERMISSION,"If your account includes an administrative console, that console may include options to configure your use of some of the features in the Box Services.",Box,1
DUTY,"If you choose to use Box Sign, the electronic signing feature Box may make available to you as part of the Box Services (""Box Sign""), it is your responsibility to determine whether the features of Box Sign are appropriate for your particular use cases and the laws and regulations that apply to you and the signers of your documents.",Box,3
OTHERS,"If you use Box Sign, it will present this default disclosure to each recipient of your Box Sign requests on your behalf unless you have an administrative console and have changed the disclosure settings in that console.",Box,0
DUTY,"By using Box Sign to send files for signature without changing the default disclosure settings, you are adopting this disclosure each time as terms that will govern your Box Sign transaction.",Box,3
OTHERS,"Similarly if you customize the disclosure in your administrative console, the customized terms you create will be presented to each recipient of your Box Sign requests and will govern each of your Box Sign transactions.",Box,0
DUTY,Only you may use your Box account and you are responsible for all aspects of your account.,Box,3
DUTY,Each user must have a separate account.,Box,3
PROHIBITION,"You may not share, loan or transfer your ID or password.",Box,2
OTHERS,"If you become aware of any unauthorized use of the Services or your account, or have any questions about your account please contact Box Support via our Box Community Page.",Box,0
OTHERS,4. EMAIL SELECTED FOR YOUR ACCOUNT,Box,0
PERMISSION,You get to choose what email address(es) you register for an account.,Box,1
PERMISSION,"Please be aware, however, that if the domain of the email address associated with your account is owned or controlled by an organization (such as your work or school) and that organization establishes a direct relationship with us and wishes to add your account to such relationship, then you may be rolled into that organization's account after a reasonable attempt to notify you of the change.",Box,1
OTHERS,"Fourteen (14) days after that attempted notice, if you do not respond or change the email address associated with your account, your account may be deactivated, and Content associated with your account may be deleted.",Box,0
DUTY,"If an organization provided you with your account (e.g., an employer or school), or if you agree to have your account managed by an organization, you understand that this organization has rights to your account and may: (a) manage your account (including suspending or canceling); (b) reset your password; (c) view your usage and profile data, including how and when your account is used; and (d) manage the Content in your account.",Box,3
OTHERS,5. CONSENT TO ELECTRONIC COMMUNICATIONS AND SOLICITATION,Box,0
PERMISSION,"By registering with Box or signing up for Services, you understand and consent to us sending you (including via email) information regarding the Services, such as: (a) notices about your use of the Services, including notices of violations of use; (b) updates to the Services and new features or products; (c) administrative messages and other information; and (d) advertising, marketing, and other materials regarding Box's products and services.",Box,1
PERMISSION,Please review your settings in your account to control the messages you receive from us or you may choose to opt-out of receiving advertising and marketing materials by unsubscribing from such communications by following the instructions in the message.,Box,1
OTHERS,Notices emailed to you will be considered given and received when the email is sent.,Box,0
PROHIBITION,"If you do not consent to receive notices (other than advertising and marketing materials) electronically, you must stop using the Services.",Box,2
OTHERS,CONTENT,Box,0
OTHERS,"We call all the electronic documents that you upload and store on your account ""Content"".",Box,0
OTHERS,All Content uploaded by you into your account is yours!,Box,0
PROHIBITION,"We don't control, verify, or endorse the Content that you or others put on the Services.",Box,2
DUTY,You are responsible for: (a) all Content in your Box account(s) and that you share through the Services-and (b) making sure that you have all the rights you need in relation to the Content.,Box,3
PROHIBITION,"In addition, by storing, using or transmitting Content you confirm that you will not violate any law or these Terms (please also see the Acceptable Use Policy in Section 10).",Box,2
DUTY,"You agree that when you share your Content, you may be allowing other people to access and use your Content in any way without further restriction or compensation to you.",Box,3
DUTY,"You agree to provide Box (as well as agents or service providers acting on Box's behalf to provide the Services) the right to transmit, process, use and disclose Content and other information which we may obtain as part of your use of the Services but only: (i) as necessary for us to provide the Services, (ii) as otherwise permitted by these Terms, (iii) as otherwise required by law, regulation or order, and/or (iv) to respond to an emergency.",Box,3
OTHERS,COPYRIGHT COMPLAINTS AND REMOVAL POLICY,Box,0
DUTY,Box respects the intellectual property of others and will respond to notices of alleged copyright infringement that comply with the law.,Box,3
PERMISSION,We reserve the right to delete or disable Content alleged to violate copyright laws or these Terms and reserve the right to terminate the account(s) of violators.,Box,1
OTHERS,"If you believe there has been a violation of your intellectual property rights, please complete our copyright compliant form; which can also be found here: https://cloud.app.box.com/copyright.",Box,0
OTHERS,"Or contact our designated copyright agent by mail: Attn: Copyright Agent, Box, Inc., 900 Jefferson Avenue, Redwood City, CA 94063 USA",Box,0
OTHERS,CONFIDENTIAL INFORMATION,Box,0
PERMISSION,"During your use of the Services, Box may share with you information that is confidential, sensitive or should be kept secret.",Box,1
OTHERS,"For example, if we tell you about our product roadmaps, product designs and architecture, technology and technical information, provide you with security audit reviews, business and marketing plans, or share with you our business processes, these should always be considered confidential to Box.",Box,0
DUTY,"Similarly, we agree that your Content, credit card/banking information and information contained in your account is confidential to you.",Box,3
OTHERS,"Also, if either of us provide any documents to the other that are labeled ""confidential"" (or something similar), or provide information (either in writing or verbal) that is of a type that a reasonable person should understand to be confidential such information is to be treated as confidential information.",Box,0
OTHERS,"However, if you tell us information that: (a) we already know at the time you tell us; (b) was told to us by a third party who had the right to tell us; (c) is generally available to the public; or (d) was independently developed by us without using any of your confidential information, then that information will not be considered confidential.",Box,0
OTHERS,The same goes for information that we tell you that falls into any of these categories.,Box,0
DUTY,"Lastly, we both agree that: (i) we will treat each other's information with the same degree of care that we treat our own confidential information; (ii) will use each other's confidential information only in connection with these Terms and the Services; (iii) only share the information with others who have a need to know and who have agreed in writing to treat it as confidential (as we've outlined in this section); and (iv) not share the information with any third party except as allowed in these Terms or through the Services.",Box,3
OTHERS,"Of course, confidential information will always remain the property of its owner.",Box,0
OTHERS,CONTENT STORAGE,Box,0
OTHERS,The Services are provided from the United States.,Box,0
DUTY,"By using and accessing the Services, you understand and agree to the storage of Content and any other personal information in the United States.",Box,3
PERMISSION,"However, you understand that you (or other people that you collaborate with) can access the Services (including Content) from outside of the United States (subject to applicable law) and that nothing prohibits the processing of other information outside of the United States.",Box,1
OTHERS,Box does offer products that enable storage and/or processing of Content outside of the United States and those products are subject to the Box Zones specific terms in Section 26.,Box,0
OTHERS,ACCEPTABLE USE POLICY,Box,0
PROHIBITION,"You agree you will not, nor will you encourage others or assist others to, harm the Services or use the Services to harm others.",Box,2
PROHIBITION,"for example, you must not use the Services to harm, threaten, or harass another person, organization or Box and/or to build a similar service or website.",Box,2
PROHIBITION,"You must not: (a) damage, disable, overburden, or impair the Service (or any network connected to the Services); (b) resell or redistribute the Services or any part of it; (c) use any unauthorized means to modify, reroute, or gain access to the Services or attempt to carry out these activities; (d) use any automated process or service (such as a bot, a spider, or periodic caching of information stored by Box) to access or use the Services; (e) use the Services beyond the features allocation and amounts provided in that Service or in violation of our fair use policy; (f) use the Services to, and/or cause Box to, violate any law or distribute any malware or malicious Content; (g) use the Box Service to communicate any message or material that is defamatory, harassing, libelous, threatening, or obscene; (h) use the Box Service in a way that violates or infringes upon the intellectual property rights or the privacy or publicity rights of any person or entity; (i) distribute, post, share information or Content illegally or without permission; (j) use the Box Service to disseminate or promote terrorism or terrorist activities; or (k) use the Box Service to disseminate material that may infringe upon legally protected social rights and freedoms of a person(s) (collectively, 'human rights') and/or as defined by domestic and public international laws and/or other legal norms.",Box,2
PERMISSION,"As part of our efforts to protect the Service, protect our customers, or to stop you from breaching these Terms we retain the right to block or otherwise prevent delivery of any type of file, email or other communication to or from the Services.",Box,1
PERMISSION,"We also reserve the right to deactivate, change and/or require you to change your Box user ID and any custom or vanity URLs, custom links, or vanity domains you may obtain through the Services.",Box,1
DUTY,"You also agree that if you learn of any unauthorized or unacceptable use of any account, Content or the Service, you will promptly contact Box Support and take all reasonable steps to cooperate with Box and assist in the termination of such use.",Box,3
OTHERS,SUSPENSION AND TERMINATION OF THE SERVICE,Box,0
PERMISSION,We reserve the right to suspend or terminate your access to the Service at any time in our sole discretion or disable any Content if a) you are in breach of these Terms; or b) your use of the Services could cause a risk of harm or loss to Box or our other users; or c) Box declines to renew your Subscription Period.,Box,1
PERMISSION,"When reasonable and as permitted by law, Box will provide you reasonable advance notice of this change as well as an opportunity to correct any actions that led to Box's decision.",Box,1
PROHIBITION,"We will not be able to provide this advance notice if you are in material breach of these Terms, or if such notice would lead to civil or criminal liability for Box, or if providing notice would compromise our ability to provide the Services to our other users.",Box,2
PERMISSION,"For the avoidance of doubt, Box may still make a determination that it does not want to continue offering you access to the Service at any time for any or no reason.",Box,1
PROHIBITION,"You understand that if your account is suspended or terminated, you may no longer have access to the Content that is stored with the Services.",Box,2
PERMISSION,"Upon termination you may request access to your Content, which we will make available, except in cases where we have terminated your account due",Box,1
DUTY,"You must make such request within fourteen (14) days following termination otherwise, any Content you have stored with the Services may not be retrievable and we will have no obligation to maintain Content stored in your account after this fourteen (14) day period.",Box,3
OTHERS,o your violation of these Terms or the Acceptable Use Policy terms in Section 10.,Box,0
OTHERS,UPDATES TO THE SERVICE,Box,0
PERMISSION,"Box may make deployments of changes, updates or enhancements to the Services or modifications to Box's default settings at any time.",Box,1
PERMISSION,"We may also add or remove functionalities or features, or we may suspend or stop the Services altogether.",Box,1
OTHERS,THIRD PARTY PRODUCTS,Box,0
PERMISSION,"Box may make available to you optional third-party applications, services or products, for use in connection with the Services (""Third-Party Products"").",Box,1
OTHERS,"These Third-Party Products are not necessary for the use of the Services and your use of the Third-Party Products (and any exchange of any information, license, payments etc.) is solely between you and the applicable third-party provider.",Box,0
OTHERS,Box makes no warranties of any kind and assumes no liability of any kind for your use of such Third-Party Products.,Box,0
OTHERS,"If you have any questions or concerns regarding the Third-Party Products, then please contact the applicable third-party provider.",Box,0
OTHERS,BOX PROPRIETARY RIGHTS,Box,0
OTHERS,"All contents of the Site and Services including but not limited to logo, design, text, software, technical drawings, configurations, graphics, other files, and their selection and arrangement and Box Confidential Information belong to Box, and/or its suppliers, affiliates, or licensors.",Box,0
PERMISSION,"Box or its licensors own and reserve all rights, title and interest in and to the Services and all hardware, software and other items used to provide the Services, other than the rights we expressly grant to you to use the Services and Box Confidential Information.",Box,1
OTHERS,No title to or ownership of any proprietary rights related to the Services or Box Confidential Information is transferred to you pursuant to these Terms.,Box,0
PERMISSION,"If you provide comments, suggestions and recommendations to Box about a Service (e.g., modifications, enhancements, improvements) (collectively, ""Feedback""), you are automatically assigning this Feedback to Box.",Box,1
OTHERS,NO WARRANTY OR CONDITIONS,Box,0
OTHERS,There are certain things that we do not promise about the Services.,Box,0
OTHERS,"Other than as expressly stated, we do not make any commitments about the specific functionality available through the Services, their reliability, availability, or ability to meet your needs.",Box,0
OTHERS,"TO THE EXTENT NOT PROHIBITED BY LAW, BOX AND ITS AFFILIATES (AND ASSOCIATED SERVICE PROVIDERS) (A) PROVIDE THE SERVICES ""AS IS"", ""WITH ALL FAULTS"" AND ""AS AVAILABLE"", (B) MAKE NO REPRESENTATIONS OR WARRANTIES OR CONDITIONS WHETHER EXPRESS OR IMPLIED (E.G. WARRANTY OF MERCHANTABILITY, SATISFACTORY QUALITY, FITNESS FOR A PARTICULAR PURPOSE, OR NON-INFRINGEMENT), AND (C) DO NOT GUARANTEE THAT THE SERVICES WILL BE UNINTERRUPTED, ERROR-FREE OR FREE OF HARMFUL COMPONENTS, OR THAT THE CONTENT WILL BE SECURE OR NOT OTHERWISE LOST OR DAMAGED.",Box,0
OTHERS,"IF YOU ARE DISSATISFIED WITH ANY PORTION OF THE SERVICE OR WITH THESE TERMS OF SERVICE, YOUR SOLE AND EXCLUSIVE REMEDY IS TO DISCONTINUE USE OF THE SERVICES.",Box,0
OTHERS,INDEMNIFICATION,Box,0
DUTY,"To the extent not prohibited by law, you will defend Box against any cost, loss, damage, or other liability arising from any third party demand or claim that any Content or information provided by you, or your use of the Services: (a) infringes a registered patent, trademark, copyright, or other intellectual property right of a third party, or misappropriates a trade secret (to the extent that such misappropriation is not the result of Box's actions); or (b) violates applicable law or these Terms.",Box,3
OTHERS,Box will reasonably notify you of any such claim or demand that is subject to your indemnification obligation of which it becomes aware.,Box,0
OTHERS,LIMITATION OF LIABILITY,Box,0
OTHERS,"TO THE EXTENT NOT PROHIBITED BY LAW, IN NO EVENT WILL YOU OR BOX AND ITS AFFILIATES, RESELLERS, OFFICERS, EMPLOYEES, AGENTS, PARTNERS, SUPPLIERS OR LICENSORS BE LIABLE FOR: ANY INDIRECT, INCIDENTAL, SPECIAL, PUNITIVE, COVER OR CONSEQUENTIAL DAMAGES (INCLUDING, WITHOUT LIMITATION, DAMAGES FOR LOST PROFITS, REVENUE, GOODWILL, USE OR CONTENT) HOWEVER CAUSED, UNDER ANY THEORY OF LIABILITY, INCLUDING, WITHOUT LIMITATION, CONTRACT, TORT, BUSINESS INTERRUPTION, LOSS OF OPPORTUNITY, WARRANTY, NEGLIGENCE OR OTHERWISE, EVEN IF BOX HAS BEEN ADVISED AS TO THE POSSIBILITY OF SUCH DAMAGES.",Box,0
OTHERS,"THE AGGREGATE LIABILITY OF YOU OR BOX AND ITS AFFILIATES, OFFICERS, RESELLERS, EMPLOYEES, AGENTS, SUPPLIERS OR LICENSORS, RELATING TO THE SERVICES, SAVE IN RESPECT OF LIABILITY ARISING UNDER SECTION 16 OF THESE TERMS, WILL BE LIMITED TO THE GREATER OF: (A) ONE AND A HALF (1.5) TIMES THE MOST RECENT MONTHLY OR YEARLY FEE THAT YOU PAID FOR THAT SERVICE; OR (B) ONE HUNDRED DOLLARS ($100 U.S.D.).",Box,0
OTHERS,THE LIMITATIONS AND EXCLUSIONS ALSO APPLY IF THIS REMEDY DOES NOT FULLY COMPENSATE YOU FOR ANY LOSSES OR FAILS OF ITS ESSENTIAL PURPOSE.,Box,0
OTHERS,"THE LIMITATION OR EXCLUSION OF INCIDENTAL, CONSEQUENTIAL OR OTHER DAMAGES WILL NOT APPLY TO YOU TO THE EXTENT PROHIBITED BY APPLICABLE LAW.",Box,0
DUTY,"IN COUNTRIES WHERE THE ABOVE TYPES OF EXCLUSIONS AND LIMITATIONS AREN'T ALLOWED, WE'RE RESPONSIBLE TO YOU ONLY FOR LOSSES AND DAMAGES THAT ARE A REASONABLY FORESEEABLE RESULT OF OUR FAILURE TO USE REASONABLE SKILL AND CARE OR OUR BREACH OF OUR CONTRACT WITH YOU.",Box,3
OTHERS,NOTHING IN THESE TERMS AFFECTS CONSUMER RIGHTS THAT CANNOT BY LAW BE WAIVED OR LIMITED BY ANY CONTRACT OR AGREEMENT.,Box,0
OTHERS,"Nothing in these Terms shall exclude or limit the liability of you or Box and its affiliates, officers, employees, agents, licensors, resellers, suppliers and distributors for death or personal injury, fraud, fraudulent misrepresentation or any liability that cannot be excluded or limited by law.",Box,0
OTHERS,"The provisions of this ""Limitation of Liability"" section allocates the risks under these Terms between you and Box, and you and Box have relied on these limitations in determining whether to enter into these Terms and the pricing for the Services.",Box,0
OTHERS,DISPUTE RESOLUTION AND GOVERNING LAW,Box,0
DUTY,"You must comply with all domestic and international export laws and regulations that apply to your use of the Services, such as software.",Box,3
OTHERS,"These laws include restrictions on destinations, end users, and end use.",Box,0
OTHERS,"If you reside in the United States, you agree that the Terms, and your relationship with Box will be governed by the laws of the State of California, U.S.A. regardless of conflict of laws principles.",Box,0
DUTY,"We both agree that the United Nations Convention on Contracts for the International Sale of Goods, the Uniform Commercial Code, the Uniform Computer Information Transactions Act, and any law effectuating these conventions do not apply to these Terms.",Box,3
DUTY,"We both agree that all of these claims can only be litigated in the federal or state courts in Santa Clara County, California, USA and we each agree to personal jurisdiction in those courts.",Box,3
DUTY,"However, you agree that Box can apply for injunctive remedies in any jurisdiction.",Box,3
DUTY,"If you reside outside of the United States excluding Japan, you agree that the Terms, and your relationship with Box, shall be governed by the laws of the England and Wales.",Box,3
DUTY,We both agree that the United Nations Convention on Contracts for the International Sale of Goods and the Uniform Computer Information Transactions Act do not apply.,Box,3
DUTY,"We both agree that all claims can only be litigated in London, England and we each agree to the exclusive jurisdiction of the courts located within London, England.",Box,3
DUTY,"However, you agree that Box can apply for injunctive remedies in any jurisdiction.",Box,3
DUTY,"If you reside in Japan, you agree that the Terms, and your relationship with Box will be governed by the laws of Japan.",Box,3
DUTY,We both agree that the United Nations Convention on Contracts for the International Sale of Goods and the Uniform Computer Information Transactions Act do not apply.,Box,3
DUTY,"We both agree that all claims can only be litigated in Tokyo, Japan and we each agree to the exclusive jurisdiction of the courts located in Tokyo, Japan.",Box,3
DUTY,"However, you agree that Box can apply for injunctive remedies in any jurisdiction.",Box,3
PROHIBITION,"To the extent that the following provision is not in conflict with applicable law, you may only resolve disputes with us on an individual basis and may not bring a claim or proceed in a group arbitration proceeding as a plaintiff or a class member in a class, consolidated, or representative action.",Box,2
OTHERS,TRIALS,Box,0
PERMISSION,You can sign-up for a trial for some of the Services and your trial period starts on the day you create the trial account and lasts for 14 days.,Box,1
PERMISSION,"If you are on a trial, you may cancel at any time until the last day of your trial.",Box,1
DUTY,"if you do not wish to incur charges, you must cancel the account by the end of the 14th day.",Box,3
PERMISSION,"If you do not cancel your account and we have told you the account will be converted to a paid subscription at the end of the trial period, then you authorize us to charge your credit card for that specific Service.",Box,1
PERMISSION,"You may, however, cancel your subscription before the next billing cycle in accordance with these Terms, but no credits or refunds will be available.",Box,1
OTHERS,FEES,Box,0
OTHERS,Box offers both free and paid Services.,Box,0
DUTY,"If you choose to subscribe to a paid Service, you agree to pay the fees (""Fees"") as quoted to you when you purchase that Service.",Box,3
PERMISSION,We may calculate taxes payable by you based on the billing information that you provide us at the time of purchase.,Box,1
DUTY,"You are responsible for all charges related to using the purchased Service (for example, data charges and currency exchange settlements).",Box,3
DUTY,You will pay the Fees in the currency Box quoted at the time of purchase.,Box,3
PERMISSION,"Box reserves the right to change the eligible currencies at any time, except where not permitted by applicable law.",Box,1
DUTY,"Box reserves the right to change its prices at any time, however, if we have offered a specific duration and Fee for your use of the Service, we agree that the Fee will remain in force for that duration.",Box,3
DUTY,"After the offer period ends, your use of the Service will be charged at the then-current Fee(s).",Box,3
PROHIBITION,"If you don't agree to these changes, you must stop using the Service and cancel via email to cancel@box.com (with cancellation confirmation from a Box representative).",Box,2
OTHERS,"If you cancel, your Service ends at the end of your current Service period or payment period, and no refunds for previously paid services will be issued.",Box,0
OTHERS,"If you do not cancel in accordance with these Terms, the subscription for the Service will automatically renew at the then-current price and term length for the next subscription period.",Box,0
DUTY,We will charge your credit card on file with us on the first day of the renewal of the subscription period.,Box,3
OTHERS,BILLING/PAYMENT,Box,0
DUTY,"If you select a paid Service, you must provide us with current, complete, accurate and authorized payment method information (e.g. credit card information).",Box,3
PERMISSION,You authorize us to charge your provided payment method for the Services you have selected and for any paid feature(s) that you choose.,Box,1
PERMISSION,"We may bill: (a) in advance; (b) at the time of purchase; (c) shortly after purchase; or (d) if you have elected a subscription service, on a recurring basis.",Box,1
PERMISSION,"To the extent Box has not received your payment, in order to bring your account up to date, we may bill you simultaneously for both past due and current amounts.",Box,1
PERMISSION,"If you do not cancel your account, we may automatically renew your Service(s) and charge you for any renewal term.",Box,1
DUTY,You understand that failure to pay any charges or fees may result in the suspension or cancellation of your Services.,Box,3
OTHERS,SUBSCRIPTION PERIOD,Box,0
PERMISSION,"You may elect one of the following subscription plans and billing options (please note that there might be only one of these options available depending on the Service purchased): A monthly subscription plan (""Monthly Subscription Plan"").",Box,1
OTHERS,"The subscription period for the Monthly Subscription Plan will be for one month and will automatically renew (without the need to go through the Services-interface ""check-out"" or execute a renewal order form) unless you cancel your Monthly Subscription Plan at least three (3) business days prior to the renewal date.",Box,0
DUTY,You will be billed on or about the same day each month until such time that you cancel.,Box,3
OTHERS,"An annual subscription plan (""Annual Subscription Plan"").",Box,0
OTHERS,"The subscription period for the Annual Subscription Plan will be for one year and will automatically renew (without the need to go through the Services-interface ""check-out"" or execute a renewal Order Form) for additional periods equal to one (1) year each year on the anniversary unless you cancel at least three (3) business days prior to your renewal date.",Box,0
DUTY,You will be billed annually on or about the same day each year until such time that you cancel.,Box,3
PROHIBITION,"Note that under the Annual Subscription Plan you will not be permitted to cancel, reduce the number of seats, or downgrade the Box Service you have selected until the anniversary date.",Box,2
DUTY,"Be aware that you are committing to a one-year plan; if you are not certain, we recommend choosing the Monthly Subscription Plan.",Box,3
PERMISSION,"If you select the Monthly Subscription Plan, you can switch to the Annual Subscription Plan at any time.",Box,1
PROHIBITION,"If you select the Annual Subscription Plan, you may not change to the Monthly Subscription Plan until the end of the one-year term of your Annual Subscription Plan.",Box,2
PERMISSION,"Where required by law, you may have a legal right to cancel your subscription, pursuant to Section 20, during the prescribed timeframe of your initial subscription period.",Box,1
OTHERS,"If you are entitled to this right by law, your cancellation request will be processed within three (3) business days, and you will receive a prorated refund of any unused prepaid fees.",Box,0
OTHERS,BOX SUBSCRIPTION SPECIFIC TERMS,Box,0
OTHERS,"If you are purchasing a Box subscription plan, the following additional terms apply to you and your organization:",Box,0
DUTY,"You: (a) are required to have a Box account for each user, (b) will only receive the features and functionality that are included in the specific subscription plan that you have purchased, (c) are responsible for setting your configurations of the Box Service, and (d) are responsible for managing your users' activity and any of your devices and/or any systems that you use to access the Box Service.",Box,3
OTHERS,"Box considers the following categories of users as your organization's users: Users whose accounts are controlled by your organization's administrator; Users who are permitted to access, store, retrieve or manage your Content and (i) are employed by your organization, or (ii) whose accounts are associated with an email address controlled by your organization.",Box,0
OTHERS,"These categories include, for the avoidance of doubt, any such users with individual plan accounts.",Box,0
DUTY,"If Box provides you with a report showing that your organization has more users than purchased accounts, then you will promptly (but in any event with seven (7) days of receiving such report) purchase additional accounts or permanently delete the excess accounts.",Box,3
PERMISSION,"If your organization has more users than purchased accounts, Box may place reasonable restrictions on your account until you adequately address your excess users (such as restricting or limiting your organization's ability to deploy additional accounts).",Box,1
OTHERS,"If your specific subscription plan includes access to Enhanced Services, the details and terms for that offering are available here.",Box,0
OTHERS,BOX SOFTWARE,Box,0
PERMISSION,"Your use of the Service may include use of optional downloadable user software (""Software"").",Box,1
PERMISSION,This Software may update automatically on your device once a new version or feature is available.,Box,1
PERMISSION,"Box gives you a personal, worldwide (subject to applicable law), royalty-free, non-assignable and non-exclusive license to use the Software provided to you by Box as part of Service, for the sole purpose of enabling you to use and enjoy the benefit of the Service.",Box,1
OTHERS,BOX PLATFORM PRODUCTS SPECIFIC TERMS,Box,0
OTHERS,"If you are purchasing any of the Platform products, the following additional terms apply to you:",Box,0
OTHERS,PLATFORM PRODUCT SPECIFIC DEFINITIONS,Box,0
OTHERS,"""API"" is the application-programming interface used by you to access functionality provided by Box.",Box,0
OTHERS,"""Content"" means the same specified in Section 6, but includes Content uploaded by Platform Application Users and Platform Service Accounts.",Box,0
OTHERS,"""Monthly Active User"" or ""MAU"" is a Platform Application User that uses the Service via an API call (made by or on the behalf of the Platform Application User account) at least once in a monthly calendar period.",Box,0
OTHERS,"""Monthly Platform API Calls"" is any API call made by a Platform Application to the Service within a monthly calendar period on behalf of: (a) a Platform Application User; (b) a User; or (c) a Platform Service Account, not to exceed your allotted amount. Except as otherwise set forth in an order, excluded from Monthly Platform API Calls are API calls made on behalf of: (i) third party software application integrations that are permitted with your use of the Service; (ii) Box provided applications (e.g., the Box Web App, Box Desktop, Box Notes, Box Capture); (iii) Box provided services (e.g. Box Shuttle), if applicable.",Box,0
OTHERS,". For clarity, any API calls resulting from a Platform Application will be considered chargeable if 95% of its Monthly Platform API Calls are used by you or on your behalf.",Box,0
OTHERS,"""Monthly Platform Bandwidth"" is the Platform Bandwidth consumed on a monthly calendar basis by or on behalf of: (a) a Platform Application User; (b) a User; or (c) a Platform Service Account, not to exceed your allotted amount.",Box,0
OTHERS,"Unless specified in an order, excluded from Monthly Platform Bandwidth is Platform Bandwidth consumed by: (i) third party software application integrations that are permitted with your use of the Service; (ii) Box provided applications (e.g., the Box Web App, Box Desktop, Box Notes, Box Capture); and (iii) Box provided services (e.g. Box Shuttle), if applicable.",Box,0
OTHERS,"For clarity, any platform bandwidth consumption from a Platform Application will be considered chargeable if 95% of its Monthly Platform Bandwidth is used by you or on your behalf.",Box,0
OTHERS,"""Platform Application"" is an application used by or on behalf of you that uses the API for the purposes of access to the Service.",Box,0
OTHERS,"""Platform Application User"" is a user with a unique identifier that is created and provisioned by you and such user's access to Content in the Service is governed through the Platform Application.",Box,0
OTHERS,"""Platform Bandwidth"" is the flow of data to or from the Service as a result of the Platform Application, measured in gigabytes (GB), not to exceed your allotted amount.",Box,0
OTHERS,"""Platform Product(s)"" is the Box API(s) that provide programmatic access to the Service from a Platform Application, and any additional Platform Product features and functionalities.",Box,0
PERMISSION,"The Platform Products include certain features that permit a Service Account/User/Platform Application User to view, annotate and comment on Content (""View"") if set forth in your order.",Box,1
OTHERS,"Box's APIs, tools and services made available for development of a Platform Application with respect to the APIs are also Platform Product(s).",Box,0
OTHERS,"""Platform Service Account"" is a non-Box software application with a unique identifier that is created and provisioned by you and your access to Content in the Service is governed through the Platform Application.",Box,0
OTHERS,"""Platform Storage"" is the total amount of Content, measured in gigabytes (unless otherwise specified), stored by or on behalf of all Platform Application Users, Platform Service Accounts and any other users of Platform Products, not to exceed your allotted amount.",Box,0
OTHERS,"""Platform Use Limit(s)"" is the amount as specified and allocated to you for: (i) Monthly Platform Bandwidth, Monthly Platform API Calls, Platform Storage and number of Monthly Active Users; and (ii) any other applicable usage limits or restrictions.",Box,0
OTHERS,"""User(s)"" is any person who is permitted by you to access, store, retrieve or manage Content in any account.",Box,0
OTHERS,You receive the features and functionality that are provided in the specific Platform Product(s) that you have registered or purchased.,Box,0
DUTY,"You agree to only incorporate the API into the Platform Applications for the sole purpose of accessing certain functionality subscribed to by you, solely through the API and associated tools and services.",Box,3
DUTY,"You will ensure that your usage of the Platform Products is at all times in conformance with the Platform Use Limits, these Terms and applicable law.",Box,3
OTHERS,"If you exceed the Platform Use Limits, additional fees will be due and/or reasonable restrictions may be placed on your account until any such excess usage is adequately eliminated by you.",Box,0
PROHIBITION,"You may not co-brand any Platform Products or use any Box trademarks, logos, or other Box marks to promote and market the Platform Products without Box's prior written consent.",Box,2
